1990 07	18	7.8636	7.9938	8.1044	8.1934	8.2674	8.3837	8.4995	8.5606	8.3468
1990 07	19	7.8596	7.9902	8.1014	8.192	8.268	8.3885	8.5097	8.5754	8.3443
1990 07	20	7.81	7.9444	8.0606	8.152	8.2268	8.3437	8.4627	8.5535	8.3687
1990 07	23	7.7966	7.9226	8.044	8.1422	8.2225	8.3469	8.4712	8.5556	8.3495
1990 07	24	7.8001	7.9759	8.11	8.2064	8.2812	8.3937	8.5055	8.5979	8.4408
1990 07	25	7.8131	7.9768	8.0927	8.1774	8.2452	8.3502	8.4583	8.5534	8.3984
1990 07	26	7.8237	7.9728	8.0829	8.1664	8.2345	8.3416	8.4518	8.5382	8.3592
1990 07	27	7.7668	7.8991	8.0038	8.09	8.1637	8.2837	8.409	8.498	8.2777
1990 07	30	7.7236	7.8215	7.9169	8.0001	8.0723	8.1898	8.3126	8.3997	8.1791
1990 07	31	7.6891	7.8023	7.9024	7.99	8.0672	8.1954	8.3322	8.4327	8.1848
1990 08	01	7.6189	7.7299	7.8304	7.9172	7.9933	8.1193	8.2552	8.3729	8.1578
1990 08	02	7.6404	7.7745	7.8931	7.991	8.0741	8.209	8.3528	8.4843	8.2758
1990 08	03	7.5679	7.6763	7.8098	7.9366	8.0494	8.2336	8.4271	8.6069	8.3628
1990 08	06	7.6159	7.787	7.9643	8.1225	8.2602	8.4834	8.7164	8.9102	8.5842
1990 08	07	7.6861	7.9084	8.0912	8.2386	8.3626	8.5609	8.766	8.9199	8.5942
1990 08	08	7.7116	7.9264	8.1063	8.2515	8.3735	8.5688	8.7717	8.9326	8.6237
1990 08	09	7.7131	7.8894	8.0428	8.1705	8.2799	8.4589	8.6517	8.8436	8.606
1990 08	10	7.6712	7.8509	8.0263	8.174	8.2989	8.4978	8.7036	8.8688	8.5636
1990 08	13	7.6951	7.8489	8.0205	8.1763	8.3117	8.5294	8.7529	8.925	8.5923
1990 08	14	7.681	7.8349	8.0038	8.1527	8.28	8.4832	8.6937	8.8759	8.5906
1990 08	15	7.6774	7.8361	7.9986	8.1378	8.2563	8.4468	8.6484	8.8468	8.6055
1990 08	16	7.7751	7.9662	8.1279	8.2592	8.3705	8.5522	8.751	8.9848	8.8035
1990 08	17	7.7956	7.9949	8.1604	8.2944	8.4079	8.5934	8.7959	9.0298	8.8385
1990 08	20	7.8314	8.0155	8.1678	8.2983	8.413	8.6041	8.8117	9.0103	8.7397
1990 08	21	7.8476	8.0589	8.2225	8.352	8.4606	8.6359	8.8227	9.0052	8.7696
1990 08	22	7.8797	8.1049	8.274	8.4075	8.5197	8.7014	8.8961	9.0948	8.8649
