date,country_code,country_name,SLT99_FTOT_TREAS,SLT399_FTOT_TREAS_VALCHG,SLT399_FTOT_TREAS_ESTTRANS,SLT99_FTOT_AGCY,SLT399_FTOT_AGCY_VALCHG,SLT399_FTOT_AGCY_ESTTRANS,SLT99_FTOT_CORP,SLT399_FTOT_CORP_VALCHG,SLT399_FTOT_CORP_ESTTRANS,SLT99_FTOT_STK,SLT399_FTOT_STK_VALCHG,SLT399_FTOT_STK_ESTTRANS,SLT99_US_FOR_BOND,SLT399_US_FOR_BOND_VALCHG,SLT399_US_FOR_BOND_ESTTRANS,SLT99_US_FOR_STK,SLT399_US_FOR_STK_VALCHG,SLT399_US_FOR_STK_ESTTRANS
2012-02,14214,Croatia,427,-2,198,0,0,0,0,0,-9,144,5,9,1200,25,83,98,8,-7
2012-02,14338,Slovenia,214,-2,-12,9,0,-28,111,1,-21,708,28,8,32,0,2,173,10,7
2012-02,15202,Bulgaria,0,0,0,0,0,0,5,0,0,21,1,-2,113,1,7,75,8,-24
2012-02,15288,Czech Republic,5067,-36,-253,0,0,0,454,4,10,1472,58,25,501,12,48,4342,257,68
2012-02,15504,Hungary,1985,-2,1645,76,0,20,97,1,-31,702,33,-134,7647,277,-88,2853,173,-15
2012-02,15601,Latvia,227,-2,-9,366,-1,-47,76,1,3,119,4,15,542,4,383,6,1,-1
2012-02,15709,Lithuania,0,0,0,0,0,0,2,0,0,44,2,4,2400,44,431,12,1,1
2012-02,15768,Poland,24357,-171,-702,684,-1,345,140,1,5,3497,126,322,19556,899,574,7989,321,343
2012-02,15806,Romania,5258,-25,1543,27,0,1,210,2,3,61,3,-4,356,1,315,735,46,153
2012-02,16101,Russia,141314,-952,1844,992,-1,443,915,8,7,374,14,26,8577,123,79,54610,4664,1398
2012-02,16403,Ukraine,6365,-44,-133,62,0,-12,25,0,13,559,5,430,3113,101,-1453,1357,22,1074
2012-02,16543,Kazakhstan,7356,-53,-441,0,0,0,227,2,31,2656,102,83,2808,56,286,492,37,21
2012-02,16713,Euro Area Countries,440346,-3034,-3942,92175,-158,4194,1015375,8900,10113,843773,33910,-10959,466413,5603,7298,918043,54175,7136
2012-02,19992,Total Europe,979784,-6657,4951,130886,-230,3047,1615563,14209,11004,1838897,72883,5503,908680,9961,8999,2201891,122631,11194
2012-02,29998,Canada,43353,-256,5876,3673,-6,116,113723,897,12427,453717,18302,-5852,353761,2545,6919,407568,13583,65
2012-02,30104,Argentina,1721,-11,107,94,0,-9,1662,15,-8,4560,183,-29,8352,-79,96,3243,-635,241
2012-02,30155,Barbados,1363,-13,-600,616,-1,-54,3965,34,88,1395,47,224,1502,48,-97,342,3,285
2012-02,30309,Brazil,226387,-1535,1525,1814,-2,725,582,6,-70,1957,67,285,57481,838,6327,187749,9432,2136
2012-02,30406,Chile,18262,-129,-611,126,0,-97,1921,17,0,16627,654,202,11910,-73,324,12817,1057,-109
2012-02,30503,Colombia,21151,-140,706,2477,-5,-243,1641,14,46,6205,270,-563,11060,173,2,5509,356,355
2012-02,30708,Cuba,0,0,0,0,0,0,0,0,0,0,11,-276,15,0,13,4,6,-120
2012-02,30805,Dominican Republic,625,-4,-1,22,0,0,152,1,9,269,10,10,695,24,-92,0,0,0
2012-02,31003,Ecuador,284,-2,0,305,0,139,297,3,-23,281,11,1,225,2,-3,1,0,0
2012-02,31089,El Salvador,417,-2,87,249,-1,-31,125,1,5,134,5,10,810,23,-18,0,0,0
2012-02,31607,Jamaica,11,0,0,342,-1,3,142,1,74,103,4,6,191,5,12,0,0,0
2012-02,31704,Mexico,30537,-199,1439,41612,-72,1632,9641,85,72,23326,896,839,57132,518,1558,64240,1833,-88
2012-02,31887,Panama,756,-5,84,1586,-3,16,3774,34,-41,7792,317,-172,4080,55,33,15964,230,262
2012-02,32204,Peru,8909,-60,50,1972,-4,13,2165,20,-85,4050,172,-273,5984,46,587,3008,-30,-72
2012-02,32409,Trinidad and Tobago,3668,-25,-52,868,-2,-73,1193,10,30,1377,55,-12,1188,37,-36,2,0,-1
2012-02,32603,Uruguay,6640,-46,-41,505,0,229,881,8,14,1808,70,40,2213,-3,130,1,0,0
2012-02,32719,Venezuela,4166,-28,9,340,-1,-12,1756,15,58,2255,91,-36,10683,1210,206,176,9,-11
2012-02,34401,Total Caribbean,137008,-898,5447,93111,-161,3632,514085,4490,7171,731288,28739,10339,312941,816,1206,803603,45630,-13906
2012-02,35254,Aruba,113,-1,3,378,-1,22,42,0,7,463,19,-3,500,17,-66,0,0,0
2012-02,35319,Bahamas,3556,-25,-115,1241,-2,-82,4357,37,140,20408,766,1178,1329,4,110,5368,272,-109
2012-02,35602,Bermuda,61615,-377,6459,44034,-79,323,103849,899,2405,67159,2648,677,27018,105,845,148912,7632,-444
2012-02,35718,Belize,6,0,-1,6,0,0,63,1,-1,263,10,14,188,7,-49,4,0,2
2012-02,35807,British Virgin Islands,11907,-89,-1055,3805,-6,256,21945,192,281,83786,3362,-639,5007,22,7,55596,2872,-609
2012-02,36137,Cayman Islands,52524,-354,746,40957,-68,3159,373800,3276,3916,534768,20967,8983,271829,124,987,522968,26934,-6976
2012-02,36188,Curacao,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2012-02,37206,Netherlands Antilles,1213,-8,61,287,0,83,2558,21,236,2516,106,-157,3408,15,-58,70093,2211,-247
